#Column 3CR	(A)		3CR source designation (1)	[meta.id;meta.main]
#Column RA1950	(A10)		Right ascension (1950.0)	[pos.eq.ra;meta.main]
#Column DE1950	(A8)		Declination (1950.0)	[pos.eq.dec;meta.main]
#Column S178MHz	(F7.1)		Flux density at 178MHz	[phot.flux.density;em.radio.100-200MHz]
3CR,RA1950,DE1950,S178MHz
,"h:m:s","d:m:s",Jy
2,00 03 49.0,-00 23.0,15.0
6.1,00 14 12.0,+79 24.0,16.0
9,00 17 50.0,+15 23.0,15.0
10,00 22 48.1,+63 50.7,134.0
11.1,00 27 06.0,+63 24.0,11.5
13,00 31 35.0,+39 03.0,10.5
14,00 33 30.6,+18 20.7,9.5
14.1,00 33 36.0,+59 30.0,14.0
15,00 34 33.0,-01 31.0,14.5
16,00 35 06.0,+12 50.0,11.5
17,00 35 52.0,-02 16.0,21.0
19,00 38 14.0,+32 54.0,9.0
18,00 38 15.0,+09 54.0,23.0
20,00 40 19.9,+51 46.0,41.0
21.1,00 42 30.0,+67 48.0,9.0
22,00 48 06.2,+50 56.7,14.5
27,00 52 42.0,+68 13.0,24.0
28,00 53 09.4,+26 07.9,14.0
29,00 55 03.0,-01 35.0,15.0
31,01 04 42.0,+32 07.5,15.5
33,01 06 13.7,+13 04.3,49.0
33.1,01 06 24.0,+72 54.0,12.0
33.2,01 06 54.0,+69 06.0,9.0
34,01 07 32.4,+31 30.1,11.0
35,01 09 07.1,+49 10.3,12.5
36,01 15 14.0,+45 23.0,9.5
40,01 23 35.0,-01 32.0,24.0
41,01 23 55.3,+32 56.1,10.0
42,01 25 43.8,+28 48.0,11.5
43,01 27 15.2,+23 25.6,11.5
44,01 28 46.4,+06 10.3,11.0
46,01 32 38.0,+37 41.0,9.5
47,01 33 40.9,+20 41.6,20.0
48,01 34 49.1,+32 52.8,47.0
49,01 38 32.0,+13 48.0,11.5
52,01 45 18.3,+53 21.4,10.0
54,01 52 27.7,+43 32.7,10.0
55,01 54 20.4,+28 36.3,21.0
58,02 01 41.0,+64 38.0,24.0
61.1,02 12 00.0,+85 59.6,29.0
63,02 18 20.4,-02 14.0,15.0
66,02 20 10.4,+42 49.8,33.0
65,02 20 37.9,+39 47.6,27.0
67,02 21 18.3,+27 36.8,10.0
68.1,02 29 29.0,+34 30.0,17.0
68.2,02 31 24.2,+31 20.0,12.0
69,02 34 20.0,+58 59.0,23.0
71,02 40 06.0,-00 25.0,13.5
75,02 55 02.8,+05 51.9,23.0
76.1,03 00 28.0,+16 15.0,9.5
78,03 05 49.3,+03 57.3,15.0
79,03 07 10.4,+16 54.8,24.0
83.1,03 14 55.3,+41 43.9,28.0
84,03 16 29.0,+41 20.3,58.0
